X,Y
1307.01451,-80.9691
1311.94664,-80.9691
1316.87877,-80.9691
1321.8109,-75.7691
1326.74303,-79.7691
1331.67516,-76.9691
1336.60729,-74.9691
1341.53942,-80.9691
1346.47155,-79.7691
1351.40368,-76.9691
1356.33581,-73.7691
1361.26794,-71.7691
1366.20007,-71.7691
1371.1322,-74.5691
1376.06433,-74.5691
1380.99646,-74.5691
1385.92859,-75.7691
1390.86072,-80.9691
1395.79285,-80.9691
1400.72498,-80.9691
1405.65711,-74.5691
1410.58924,-69.7691
1415.52137,-72.1691
1420.4535,-80.9691
1425.38563,-76.9691
1430.31776,-74.5691
1435.24989,-69.7691
1440.18202,-70.5691
1445.11415,-75.7691
1450.04628,-73.7691
1454.97841,-79.7691
1459.91054,-80.9691
1464.84267,-74.5691
1469.7748,-77.3691
1474.70693,-76.9691
1479.63906,-74.9691
1484.57119,-77.3691
1489.50332,-70.9691
1494.43545,-69.7691
1499.36758,-71.7691
1504.29971,-75.7691
1509.23184,-74.5691
1514.16397,-69.3691
1519.0961,-68.9691
1524.02823,-77.3691
1528.96036,-80.9691
1533.89249,-77.3691
1538.82462,-72.1691
1543.75675,-74.5691
1548.68888,-73.7691
1553.62101,-79.7691
1558.55314,-80.9691
1563.48527,-76.9691
1568.4174,-77.7691
1573.34953,-79.7691
1578.28166,-80.9691
1583.21379,-74.5691
1588.14592,-74.9691
1593.07805,-79.7691
1598.01018,-76.9691
1602.94231,-73.7691
1607.87444,-71.3691
1612.80657,-70.9691
1617.7387,-72.1691
1622.67083,-70.9691
1627.60296,-77.7691
1632.53509,-80.9691
1637.46722,-77.3691
1642.39935,-73.7691
1647.33148,-75.7691
1652.26361,-80.9691
1657.19574,-80.9691
1662.12787,-80.9691
1667.06,-75.7691
1671.99213,-75.7691
1676.92426,-75.7691
1681.85639,-72.1691
1686.78852,-76.9691
1691.72065,-73.7691
1696.65278,-72.9691
1701.58491,-77.7691
1706.51704,-80.9691
1711.44917,-76.9691
1716.3813,-74.5691
1721.31343,-72.9691
1726.24556,-80.9691
1731.17769,-80.9691
1736.10982,-75.7691
1741.04195,-79.7691
1745.97408,-74.5691
1750.90621,-75.7691
1755.83834,-80.9691
1760.77047,-80.9691
1765.7026,-80.9691
1770.63473,-74.9691
1775.56686,-73.7691
1780.49899,-73.7691
1785.43112,-80.9691
1790.36325,-74.9691
1795.29538,-79.7691
1800.22751,-80.9691
1805.15964,-75.7691
1810.09177,-79.7691
1815.0239,-80.9691
1819.95603,-72.1691
1824.88816,-69.7691
1829.82029,-69.7691
1834.75242,-61.7691
1839.68455,-63.3691
1844.61668,-74.5691
1849.54881,-72.1691
1854.48094,-73.7691
1859.41307,-71.7691
1864.3452,-69.7691
1869.27733,-72.9691
1874.20946,-74.5691
1879.14159,-77.3691
1884.07372,-80.9691
1889.00585,-73.7691
1893.93798,-76.9691
1898.87011,-77.3691
1903.80224,-74.5691
1908.73437,-80.9691
1913.6665,-74.5691
1918.59863,-72.9691
1923.53076,-72.9691
1928.46289,-77.7691
1933.39502,-72.1691
1938.32715,-75.7691
1943.25928,-80.9691
1948.19141,-77.7691
1953.12354,-72.1691
1958.05567,-73.7691
1962.9878,-75.7691
1967.91993,-79.7691
1972.85206,-74.5691
1977.78419,-70.5691
1982.71632,-76.9691
1987.64845,-76.9691
1992.58058,-77.7691
1997.51271,-80.9691
2002.44484,-74.5691
2007.37697,-80.9691
2012.3091,-80.9691
2017.24123,-79.7691
2022.17336,-80.9691
2027.10549,-74.9691
2032.03762,-71.7691
2036.96975,-79.7691
2041.90188,-77.3691
2046.83401,-74.9691
2051.76614,-80.9691
2056.69827,-79.7691
2061.6304,-79.7691
2066.56253,-79.7691
2071.49466,-80.9691
2076.42679,-76.9691
2081.35892,-72.1691
2086.29105,-75.7691
2091.22318,-73.7691
2096.15531,-71.7691
2101.08744,-74.9691
2106.01957,-74.5691
2110.9517,-79.7691
2115.88383,-80.9691
2120.81596,-75.7691
2125.74809,-80.9691
