Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
343	880	26	1	04/27/26 09:20:05 AM	
344	880	29	1	04/27/26 09:20:06 AM	
345	880	34	1	04/27/26 09:20:07 AM	
346	880	33	1	04/27/26 09:20:08 AM	
347	880	45	1	04/27/26 09:20:09 AM	
348	880	36	1	04/27/26 09:20:10 AM	
349	880	31	1	04/27/26 09:20:12 AM	
350	880	30	1	04/27/26 09:20:13 AM	
351	880	38	1	04/27/26 09:20:14 AM	
352	880	42	1	04/27/26 09:20:15 AM	
353	880	28	1	04/27/26 09:20:16 AM	
354	880	31	1	04/27/26 09:20:18 AM	
355	880	36	1	04/27/26 09:20:19 AM	
356	880	28	1	04/27/26 09:20:20 AM	
357	880	34	1	04/27/26 09:20:21 AM	
358	880	32	1	04/27/26 09:20:22 AM	
359	880	36	1	04/27/26 09:20:24 AM	
360	880	36	1	04/27/26 09:20:25 AM	
361	880	29	1	04/27/26 09:20:26 AM	
362	880	34	1	04/27/26 09:20:27 AM	
363	880	31	1	04/27/26 09:20:28 AM	
364	880	34	1	04/27/26 09:20:29 AM	
365	880	33	1	04/27/26 09:20:31 AM	
366	880	31	1	04/27/26 09:20:32 AM	
367	880	33	1	04/27/26 09:20:33 AM	
368	880	44	1	04/27/26 09:20:34 AM	
369	880	40	1	04/27/26 09:20:35 AM	
370	880	29	1	04/27/26 09:20:36 AM	
371	880	37	1	04/27/26 09:20:38 AM	
372	880	36	1	04/27/26 09:20:39 AM	
373	880	35	1	04/27/26 09:20:40 AM	
374	880	33	1	04/27/26 09:20:41 AM	
375	880	34	1	04/27/26 09:20:42 AM	
376	880	36	1	04/27/26 09:20:44 AM	
377	880	40	1	04/27/26 09:20:45 AM	
378	880	26	1	04/27/26 09:20:46 AM	
379	880	40	1	04/27/26 09:20:47 AM	
380	880	36	1	04/27/26 09:20:48 AM	
381	880	38	1	04/27/26 09:20:49 AM	
382	880	35	1	04/27/26 09:20:51 AM	
383	880	35	1	04/27/26 09:20:52 AM	
384	880	37	1	04/27/26 09:20:53 AM	
385	880	30	1	04/27/26 09:20:54 AM	
386	880	36	1	04/27/26 09:20:55 AM	
387	880	44	1	04/27/26 09:20:56 AM	
388	880	42	1	04/27/26 09:20:57 AM	
389	880	34	1	04/27/26 09:20:58 AM	
390	880	38	1	04/27/26 09:21:00 AM	
391	880	26	1	04/27/26 09:21:01 AM	
392	880	36	1	04/27/26 09:21:02 AM	
393	880	32	1	04/27/26 09:21:03 AM	
394	880	42	1	04/27/26 09:21:04 AM	
395	880	33	1	04/27/26 09:21:06 AM	
396	880	41	1	04/27/26 09:21:07 AM	
397	880	33	1	04/27/26 09:21:08 AM	
398	880	35	1	04/27/26 09:21:09 AM	
399	880	35	1	04/27/26 09:21:10 AM	
400	880	34	1	04/27/26 09:21:11 AM	
401	880	37	1	04/27/26 09:21:13 AM	
402	880	41	1	04/27/26 09:21:14 AM	
403	880	29	1	04/27/26 09:21:15 AM	
404	880	40	1	04/27/26 09:21:16 AM	
405	880	39	1	04/27/26 09:21:17 AM	
406	880	46	1	04/27/26 09:21:18 AM	
407	880	49	1	04/27/26 09:21:20 AM	
408	880	34	1	04/27/26 09:21:21 AM	
